,y_true,y_prob,y_raw
0,0,0.49732596,-0.010696376
1,0,0.49664453,-0.013422133
2,1,0.4974109,-0.010356532
3,0,0.49662888,-0.0134847555
4,0,0.49638712,-0.014451826
5,0,0.49743208,-0.010271845
6,1,0.49927637,-0.0028945599
7,1,0.49576116,-0.016955616
8,0,0.49302435,-0.027904337
9,0,0.49369368,-0.025226487
10,0,0.49518347,-0.019266741
11,1,0.4955154,-0.017938914
12,1,0.49365777,-0.025370447
13,1,0.49906173,-0.0037530195
14,1,0.4976118,-0.009552823
15,0,0.49876103,-0.004955774
16,0,0.49277365,-0.02890755
17,1,0.49647245,-0.014110522
18,1,0.49693066,-0.012277545
19,0,0.49338207,-0.026473494
20,0,0.497079,-0.01168404
21,1,0.4993231,-0.0027075391
22,1,0.49847236,-0.0061103944
23,0,0.49420732,-0.023171848
24,1,0.49745774,-0.010169221
25,0,0.49835876,-0.006564779
26,0,0.49850234,-0.005990656
27,1,0.49788502,-0.008459939
28,0,0.49738678,-0.010453014
29,0,0.49903283,-0.0038686004
30,0,0.49649626,-0.014015285
31,0,0.4941766,-0.023294622
32,0,0.49571213,-0.01715195
33,0,0.49821907,-0.0071238372
34,0,0.49447966,-0.022082137
35,1,0.4940065,-0.023974923
36,1,0.49744782,-0.010208944
37,0,0.49399883,-0.024005858
38,0,0.4971866,-0.011253791
39,0,0.49784532,-0.008618629
40,1,0.4956243,-0.01750307
41,1,0.49637368,-0.014505537
42,0,0.49609423,-0.015623381
43,0,0.49867263,-0.0053094607
44,0,0.49696863,-0.012125662
45,0,0.49666682,-0.013332991
46,0,0.4967659,-0.012936467
47,0,0.4985078,-0.0059689526
48,1,0.497083,-0.011668084
49,0,0.49643496,-0.014260458
50,1,0.49533916,-0.018643813
51,1,0.49871394,-0.00514427
52,0,0.49964264,-0.0014296547
53,0,0.4964782,-0.014087455
54,1,0.49727362,-0.010905633
55,1,0.4974941,-0.010023782
56,1,0.4972109,-0.011156576
57,0,0.49425998,-0.022961007
58,1,0.49650395,-0.013984526
59,0,0.4944724,-0.02211112
60,0,0.4927451,-0.029021641
61,1,0.49532697,-0.018692726
62,1,0.49697217,-0.012111666
63,1,0.49347064,-0.026118876
64,1,0.4973422,-0.010631351
65,1,0.49533868,-0.018645765
66,1,0.49761426,-0.009542959
67,0,0.49612123,-0.015515516
68,1,0.49388844,-0.02444764
69,0,0.49625024,-0.014999205
70,0,0.49516442,-0.019343073
71,0,0.49653715,-0.013851618
72,1,0.4985891,-0.0056436677
73,1,0.49556208,-0.017752158
74,0,0.49325952,-0.026963571
75,0,0.49740595,-0.010376388
76,0,0.50030166,0.0012065303
77,1,0.49814966,-0.0074014533
78,1,0.49792546,-0.0082980115
79,0,0.4972221,-0.011111813
80,0,0.49632922,-0.014683412
81,1,0.4991719,-0.003312314
82,1,0.4923926,-0.03043198
83,1,0.4956496,-0.017401831
84,1,0.49845502,-0.006179938
