,y_true,y_prob,y_raw
0,0,0.526858,0.1075353
1,0,0.52677023,0.10718325
2,1,0.5466437,0.18711877
3,0,0.54612017,0.18500653
4,0,0.5524547,0.21059373
5,0,0.5381827,0.15302874
6,1,0.5509344,0.20444654
7,1,0.5492242,0.19753674
8,0,0.5345365,0.13836627
9,0,0.54369646,0.1752329
10,0,0.52382505,0.095372394
11,1,0.54691523,0.18821454
12,1,0.54089147,0.16393194
13,1,0.5500554,0.20089447
14,1,0.5501672,0.20134619
15,0,0.5345333,0.1383535
16,0,0.52278477,0.09120248
17,1,0.55349874,0.21481739
18,1,0.5551741,0.22159894
19,0,0.5291117,0.11657868
20,0,0.5267341,0.10703835
21,1,0.5519765,0.20865986
22,1,0.5448702,0.17996499
23,0,0.53522164,0.14112033
24,1,0.55217415,0.209459
25,0,0.5277303,0.11103512
26,0,0.5314881,0.12611952
27,1,0.5495316,0.19877808
28,0,0.5271469,0.10869427
29,0,0.52691054,0.10774621
30,0,0.52890956,0.11576742
31,0,0.5308439,0.12353261
32,0,0.5453142,0.18175547
33,0,0.53320295,0.13300769
34,0,0.531599,0.1265647
35,1,0.54335093,0.17384025
36,1,0.53946203,0.15817703
37,0,0.5261416,0.10466191
38,0,0.5284857,0.11406641
39,0,0.52770245,0.11092332
40,1,0.5539471,0.21663168
41,1,0.5417709,0.16747394
42,0,0.5361752,0.14495413
43,0,0.54886156,0.19607209
44,0,0.54067487,0.16305988
45,0,0.5266389,0.106656656
46,0,0.5288746,0.11562702
47,0,0.5379926,0.15226406
48,1,0.5488035,0.19583756
49,0,0.52352154,0.09415564
50,1,0.5403987,0.1619478
51,1,0.5550115,0.22094032
52,0,0.53366745,0.13487393
53,0,0.5273691,0.109585926
54,1,0.54298425,0.17236246
55,1,0.5479367,0.1923375
56,1,0.5384632,0.15415725
57,0,0.5309888,0.12411432
58,1,0.55456537,0.21913439
59,0,0.52895457,0.11594784
60,0,0.53992647,0.1600468
61,1,0.5462001,0.18532899
62,1,0.5449766,0.18039387
63,1,0.5399426,0.16011171
64,1,0.5420859,0.16874291
65,1,0.5473849,0.19011016
66,1,0.5504361,0.20243266
67,0,0.53094226,0.12392743
68,1,0.5437731,0.17554188
69,0,0.54219526,0.1691835
70,0,0.5295993,0.118535936
71,0,0.53263295,0.13071765
72,1,0.5420193,0.1684746
73,1,0.54144734,0.16617079
74,0,0.5336051,0.13462332
75,0,0.5370064,0.14829677
76,0,0.5176001,0.07042959
77,1,0.54186195,0.16784057
78,1,0.55148244,0.20666221
79,0,0.5430238,0.17252205
80,0,0.5272145,0.108965755
81,1,0.5504771,0.20259856
82,1,0.5499779,0.2005814
83,1,0.54372835,0.17536142
84,1,0.5457547,0.183532
85,0,0.52738535,0.10965113
86,1,0.5430062,0.1724509
87,0,0.54067594,0.16306415
88,0,0.5386329,0.1548403
89,1,0.5410382,0.16452311
90,0,0.52041054,0.0816876
91,0,0.52229655,0.08924548
92,1,0.55155915,0.20697236
93,0,0.5367692,0.14734295
94,1,0.55355775,0.21505614
95,1,0.5304744,0.122048974
96,0,0.5254375,0.10183774
97,0,0.5402297,0.16126749
98,0,0.52374905,0.095067814
99,0,0.52861595,0.11458908
100,0,0.5288285,0.11544213
101,1,0.5550218,0.22098228
102,0,0.54036415,0.16180873
103,1,0.54067457,0.16305856
104,0,0.52320886,0.09290233
105,1,0.5389499,0.15611613
106,1,0.5424731,0.17030281
107,1,0.5490122,0.19668028
108,0,0.5282593,0.113157704
109,0,0.5480769,0.19290373
110,0,0.53694844,0.14806378
111,0,0.5204411,0.08180998
112,1,0.54248226,0.17033973
113,1,0.54410535,0.17688102
114,1,0.5542576,0.21788825
115,0,0.53583694,0.14359403
116,1,0.5278686,0.11159028
117,0,0.54813105,0.19312218
118,1,0.54697865,0.18847051
119,0,0.53087723,0.12366629
120,0,0.5320215,0.12826166
121,1,0.5459175,0.18418911
122,1,0.5387188,0.15518601
123,0,0.52815235,0.112728655
124,0,0.5291253,0.11663309
125,0,0.5280338,0.112252936
126,0,0.528118,0.11259097
127,0,0.5187048,0.074854046
128,0,0.5248299,0.09940159
129,1,0.54042006,0.16203395
130,0,0.52624017,0.105057135
131,0,0.539979,0.160258
132,0,0.5291341,0.11666852
133,0,0.53927165,0.15741079
134,0,0.5403069,0.16157852
135,0,0.54697007,0.18843605
136,0,0.5341505,0.13681507
137,1,0.5489878,0.19658199
138,0,0.5328394,0.13154703
139,1,0.542144,0.16897681
140,1,0.5419904,0.16835806
141,0,0.5267546,0.10712066
142,0,0.55082965,0.20402348
143,0,0.5539711,0.21672869
144,0,0.5351699,0.14091228
145,0,0.52469414,0.098857015
146,1,0.5431194,0.17290708
147,0,0.5260612,0.10433908
148,1,0.5490472,0.19682156
149,1,0.5477257,0.19148566
150,0,0.53216964,0.12885658
151,1,0.55235815,0.21020326
152,0,0.5425459,0.17059618
153,0,0.534442,0.13798667
154,0,0.5445338,0.17860833
155,0,0.5190751,0.07633749
156,0,0.5249278,0.099794105
157,1,0.54714715,0.18915062
158,0,0.52429044,0.09723842
159,1,0.5447791,0.17959766
160,0,0.526083,0.104426816
161,1,0.5392754,0.15742588
162,0,0.52189034,0.08761756
163,1,0.55047584,0.2025936
164,1,0.54955775,0.19888394
165,0,0.5307566,0.12318194
166,0,0.52416587,0.09673878
167,1,0.5456911,0.18327577
168,1,0.5444521,0.17827886
169,1,0.5456764,0.18321644
170,1,0.5432625,0.17348374
171,1,0.54212266,0.16889092
172,0,0.5566522,0.22758609
173,0,0.52450466,0.09809744
174,1,0.5513221,0.2060138
175,0,0.53673947,0.14722322
176,0,0.52982605,0.119446084
177,0,0.5266909,0.10686532
178,1,0.5464174,0.18620598
179,0,0.5444671,0.17833953
180,1,0.54105914,0.1646074
181,0,0.5260223,0.10418342
182,0,0.53668326,0.14699702
183,1,0.5460968,0.18491223
184,1,0.5344452,0.13799945
185,1,0.54501563,0.18055141
186,0,0.53019154,0.12091334
187,0,0.5255918,0.10245676
188,0,0.526156,0.10471967
189,1,0.5400374,0.16049322
190,0,0.5487827,0.19575363
191,1,0.55073005,0.20362091
192,1,0.55303913,0.21295762
193,1,0.5302775,0.12125842
194,0,0.53290945,0.13182847
195,0,0.5281931,0.11289233
196,0,0.5212329,0.08498275
197,1,0.5434714,0.1743257
198,0,0.5275094,0.11014876
199,0,0.53806716,0.15256383
200,1,0.5462205,0.18541121
201,0,0.543747,0.17543656
202,0,0.5329711,0.1320759
203,1,0.54975694,0.19968864
204,1,0.54710066,0.18896297
205,0,0.5498591,0.20010144
206,0,0.53726023,0.14931777
207,0,0.5347769,0.13933271
208,0,0.52513516,0.10062544
209,1,0.56541014,0.26314867
210,0,0.5251194,0.1005622
211,0,0.528202,0.11292784
212,0,0.5287082,0.11495918
213,0,0.52497804,0.09999521
214,0,0.54290867,0.17205779
215,0,0.5233939,0.09364405
216,1,0.5494129,0.19829884
217,0,0.5289088,0.11576429
218,0,0.525909,0.10372883
219,0,0.521955,0.08787638
220,0,0.53133017,0.12548505
221,0,0.53572625,0.14314878
222,1,0.5409969,0.16435677
223,0,0.53275424,0.13120487
224,1,0.5385967,0.15469462
225,1,0.53967476,0.15903336
226,0,0.52695173,0.10791145
227,0,0.5297597,0.11917965
228,0,0.5488702,0.19610685
229,0,0.52662694,0.10660873
230,1,0.540108,0.16077739
231,1,0.55508137,0.2212233
232,0,0.5282974,0.11331098
233,0,0.5500881,0.20102671
234,0,0.53400487,0.13622992
235,1,0.5454051,0.18212202
236,0,0.54316866,0.17310554
237,0,0.533646,0.13478781
238,0,0.54454225,0.1786425
239,0,0.535048,0.1404224
240,0,0.54574186,0.18348044
241,0,0.52747834,0.1100242
242,1,0.55368054,0.21555296
243,0,0.53695834,0.14810342
244,0,0.52740633,0.10973546
245,0,0.51813567,0.072574645
246,0,0.51788867,0.07158524
247,0,0.5379236,0.15198632
248,0,0.5256392,0.10264671
249,0,0.5292626,0.117184445
250,1,0.5465984,0.18693599
251,1,0.5453839,0.18203655
252,0,0.52508736,0.10043383
253,0,0.5362701,0.14533566
254,1,0.5431175,0.17289968
255,0,0.552043,0.2089286
256,0,0.52471507,0.09894088
257,1,0.53486156,0.1396728
258,1,0.5460868,0.18487182
259,0,0.5308246,0.123454764
260,1,0.5450324,0.18061906
261,0,0.53932625,0.15763053
262,0,0.5277046,0.11093204
263,0,0.527284,0.109244555
264,1,0.5496996,0.19945695
265,0,0.5353922,0.14180619
266,0,0.5208936,0.08362311
267,0,0.5293465,0.11752117
268,1,0.5470325,0.18868774
269,0,0.52333474,0.093406945
270,1,0.53860015,0.15470843
271,0,0.5372051,0.14909601
272,0,0.5247745,0.099179134
273,0,0.525925,0.103793055
274,1,0.5476505,0.19118208
275,0,0.52772945,0.11103183
276,1,0.53975093,0.15934
277,0,0.56376845,0.2564704
278,0,0.5299299,0.11986278
279,0,0.54713064,0.18908398
280,1,0.54076636,0.16342829
281,0,0.5293298,0.11745416
282,1,0.5488692,0.19610283
283,0,0.5310668,0.12442747
284,0,0.5288541,0.11554478
285,0,0.52978176,0.11926821
286,1,0.5443116,0.1777125
287,0,0.53179735,0.12736125
288,1,0.53917897,0.15703787
289,0,0.5303265,0.12145504
290,0,0.52719826,0.10890044
291,1,0.55241525,0.21043423
292,0,0.5253934,0.10166119
293,0,0.5315745,0.12646633
294,1,0.5422676,0.16947483
295,0,0.53109187,0.12452832
296,0,0.53286505,0.13164994
297,0,0.5309668,0.12402603
298,0,0.52644116,0.10586333
299,0,0.5282543,0.11313759
300,0,0.5340568,0.13643837
301,0,0.5270089,0.10814078
302,1,0.5408421,0.16373317
303,0,0.5246596,0.09871845
304,0,0.5342643,0.13727243
305,0,0.52604693,0.10428211
306,1,0.5424941,0.17038737
307,0,0.5275054,0.11013278
308,0,0.52540594,0.10171142
309,1,0.5426502,0.17101653
310,0,0.5271686,0.10878146
311,1,0.53441155,0.13786432
312,1,0.5406788,0.16307566
313,1,0.5391516,0.15692759
314,1,0.5538012,0.21604098
315,0,0.52358884,0.094425365
316,0,0.5347576,0.13925509
317,0,0.5292325,0.11706337
318,1,0.5421151,0.16886054
319,1,0.54051304,0.16240829
320,0,0.536062,0.14449885
321,0,0.52436996,0.09755719
322,1,0.5392656,0.15738642
323,0,0.5258206,0.10337436
324,1,0.54594123,0.18428485
325,0,0.54238707,0.16995627
326,1,0.55530983,0.22214852
327,0,0.53750503,0.15030241
328,1,0.5488589,0.19606113
329,0,0.527637,0.11066073
330,1,0.5374329,0.15001236
331,1,0.5401751,0.16104761
332,0,0.5521291,0.20927687
333,1,0.5400405,0.16050553
334,1,0.5397033,0.15914829
335,0,0.52925915,0.11717047
336,0,0.5295144,0.11819482
337,0,0.52591735,0.10376233
338,0,0.52905,0.11633086
339,1,0.5361406,0.14481507
340,0,0.5315205,0.12624934
341,0,0.5421537,0.16901596
342,0,0.5269988,0.108100384
343,0,0.5276984,0.11090714
344,0,0.5259398,0.103852645
345,0,0.52661335,0.10655412
346,0,0.5379788,0.15220834
347,0,0.5304895,0.12210952
348,0,0.5317739,0.12726727
349,0,0.5300328,0.12027596
350,0,0.535898,0.14383943
351,1,0.54613143,0.18505192
352,1,0.5412848,0.16551593
353,1,0.5435556,0.17466515
354,0,0.53473854,0.13917838
355,0,0.5303681,0.121622026
356,0,0.5249693,0.09996021
357,0,0.5248194,0.099359065
358,0,0.5523787,0.21028641
359,0,0.53025866,0.121182606
360,0,0.5355963,0.14262663
361,0,0.5303551,0.12156993
362,0,0.5241718,0.09676288
363,0,0.5389825,0.15624706
364,0,0.5280678,0.112389475
365,0,0.5335234,0.13429505
366,0,0.53237087,0.12966497
367,0,0.5324677,0.13005392
368,1,0.5453734,0.18199432
369,0,0.5320798,0.12849572
370,1,0.5422446,0.16938233
371,1,0.5494378,0.19839945
372,0,0.53747433,0.1501788
373,0,0.53070486,0.12297417
374,1,0.54804665,0.1927815
375,0,0.5272452,0.10908908
376,1,0.5410651,0.16463117
377,0,0.5427336,0.1713525
378,0,0.53621304,0.14510638
379,1,0.5526747,0.21148346
380,1,0.5413374,0.16572769
381,1,0.5393469,0.15771359
382,1,0.5424527,0.17022073
383,0,0.52927405,0.117230296
384,1,0.5387575,0.15534152
385,1,0.54837185,0.1940946
386,1,0.5445405,0.17863563
387,0,0.5252101,0.10092591
388,0,0.53203124,0.12830074
389,0,0.523313,0.09331973
390,0,0.5288926,0.11569938
391,0,0.52456594,0.09834294
392,0,0.53250027,0.13018465
393,0,0.52864575,0.11470872
394,1,0.5420781,0.1687112
395,0,0.53155357,0.12638217
396,1,0.5424787,0.17032522
397,0,0.54355705,0.17467086
398,1,0.54249054,0.17037308
399,1,0.5380149,0.15235363
400,1,0.54278815,0.17157215
401,0,0.524144,0.09665106
402,0,0.5359051,0.14386825
403,1,0.54663664,0.18709032
404,0,0.53809285,0.1526672
405,0,0.5244827,0.09800914
406,1,0.5540923,0.21721923
407,1,0.5388895,0.15587305
408,1,0.54453516,0.17861398
409,1,0.54236645,0.169873
410,0,0.5320012,0.12817994
411,0,0.5300777,0.12045631
412,1,0.54571694,0.18337998
413,0,0.5504103,0.20232849
414,1,0.54422635,0.17736888
415,0,0.5270655,0.10836801
416,0,0.5376635,0.15094006
417,0,0.5260066,0.1041204
418,0,0.5261426,0.1046657
419,0,0.52984965,0.11954081
420,1,0.5430685,0.17270209
421,1,0.5457239,0.18340805
422,0,0.5232204,0.09294853
423,0,0.53478694,0.13937296
424,0,0.5281488,0.11271435
425,1,0.54680395,0.1877656
426,1,0.5447986,0.17967631
427,0,0.52649957,0.1060977
428,1,0.5419661,0.16826011
429,0,0.5276686,0.11078769
430,0,0.5265131,0.10615191
431,1,0.54575413,0.18352991
432,1,0.5460746,0.18482283
433,0,0.5244129,0.09772912
434,0,0.51818675,0.07277912
435,1,0.54101884,0.1644451
436,1,0.54765326,0.19119346
437,1,0.5400487,0.16053888
438,0,0.52256453,0.090319574
439,0,0.53157127,0.12645324
440,0,0.5427375,0.1713682
441,1,0.53057224,0.12244174
442,0,0.5244749,0.09797795
443,0,0.52651167,0.10614607
444,1,0.5334952,0.13418175
445,1,0.5498544,0.2000825
446,1,0.55180836,0.20797993
447,0,0.5228582,0.091496535
448,0,0.54095095,0.16417167
449,0,0.5297336,0.11907503
450,0,0.525066,0.100348175
451,0,0.5389338,0.15605107
452,1,0.55289084,0.21235794
453,1,0.55143195,0.20645814
454,0,0.5354392,0.14199491
455,0,0.5308231,0.12344891
456,1,0.5449282,0.18019873
457,0,0.5353097,0.1414743
458,0,0.5382324,0.15322858
459,0,0.5273443,0.109486476
460,0,0.5278902,0.11167674
461,1,0.5531851,0.21354827
462,0,0.5278022,0.111323684
463,1,0.54134893,0.16577438
464,0,0.5475575,0.1908068
465,0,0.52711856,0.10858083
466,0,0.5339041,0.13582467
467,0,0.5390904,0.15668134
468,0,0.52589387,0.10366814
469,1,0.551437,0.20647869
470,1,0.5425772,0.17072216
471,0,0.5186164,0.07450001
472,1,0.5374553,0.1501025
473,1,0.5450026,0.1804988
474,0,0.529802,0.11934957
475,0,0.5286085,0.114559114
476,1,0.55652857,0.22708516
477,1,0.5312139,0.1250181
478,1,0.53418744,0.13696358
479,1,0.5401373,0.16089535
480,1,0.538866,0.15577836
481,0,0.5399114,0.15998597
482,1,0.5464473,0.1863261
483,0,0.5313028,0.12537509
484,0,0.51922673,0.07694491
485,0,0.5415692,0.16666143
486,0,0.52604216,0.10426302
