,y_true,y_prob,y_raw
0,0,0.49161467,-0.03354456
1,0,0.51361066,0.054456085
2,1,0.48655882,-0.0537776
3,0,0.49739817,-0.010407519
4,0,0.49159855,-0.03360896
5,0,0.48693892,-0.052255977
6,1,0.51228815,0.04916263
7,1,0.5009779,0.0039113816
8,0,0.49408537,-0.023659695
9,0,0.47687688,-0.09255849
10,0,0.49778458,-0.0088618435
11,1,0.5060217,0.024087794
12,1,0.49997562,-9.744987e-05
13,1,0.49976474,-0.0009410307
14,1,0.48767766,-0.049299378
15,0,0.5118428,0.047379967
16,0,0.51832086,0.073316306
17,1,0.50253874,0.010154966
18,1,0.49020103,-0.03920095
19,0,0.49786854,-0.008525848
20,0,0.4968858,-0.012457069
21,1,0.5031636,0.012654431
22,1,0.503673,0.014692536
23,0,0.4917217,-0.033116255
24,1,0.4885115,-0.04596213
25,0,0.51761055,0.07047145
26,0,0.4863774,-0.054503966
27,1,0.49483517,-0.02065992
28,0,0.49837133,-0.0065148436
29,0,0.510718,0.042878367
30,0,0.5029845,0.011938125
31,0,0.4824535,-0.07021485
32,0,0.49684873,-0.012605246
33,0,0.5162701,0.06510329
34,0,0.49603954,-0.015842129
35,1,0.4955655,-0.017738301
36,1,0.49308762,-0.027651217
37,0,0.50297254,0.011890186
38,0,0.4908485,-0.036609996
39,0,0.50214237,0.008569632
40,1,0.50042146,0.0016858429
41,1,0.49684873,-0.012605246
42,0,0.5040838,0.016335517
43,0,0.51481175,0.05926437
44,0,0.49278054,-0.028879825
45,0,0.50272113,0.010884512
46,0,0.5023589,0.009435732
47,0,0.5018391,0.0073564127
48,1,0.50194734,0.0077894814
49,0,0.48761553,-0.0495479
50,1,0.50687516,0.027502347
51,1,0.5037044,0.014818057
52,0,0.49497402,-0.020104405
53,0,0.5111859,0.04475093
54,1,0.50717324,0.028694976
55,1,0.48971853,-0.041131724
56,1,0.47969365,-0.08127004
57,0,0.49079838,-0.036810514
58,1,0.5025165,0.010066286
59,0,0.50277,0.011080027
60,0,0.49414858,-0.023406737
61,1,0.49644825,-0.014207322
62,1,0.4972172,-0.011131428
63,1,0.49981266,-0.0007494055
64,1,0.50530875,0.021235835
65,1,0.49988857,-0.00044588372
66,1,0.48974362,-0.04103123
67,0,0.50140554,0.005622104
68,1,0.5166522,0.06663346
69,0,0.5044324,0.017730072
70,0,0.504326,0.01730434
71,0,0.52929616,0.117319
72,1,0.50473166,0.018927272
73,1,0.49889845,-0.0044062026
74,0,0.4905576,-0.03777409
75,0,0.51166266,0.046659254
76,0,0.50795,0.031802658
77,1,0.49004295,-0.03983343
78,1,0.49823433,-0.0070626102
79,0,0.4936422,-0.025432624
80,0,0.4986594,-0.005362347
81,1,0.5052533,0.021014068
82,1,0.50399226,0.015969314
83,1,0.5054246,0.021699281
84,1,0.50006557,0.00026234612
85,0,0.50210404,0.008416107
86,1,0.4782395,-0.08709705
87,0,0.48388398,-0.064486295
88,0,0.4979575,-0.00816996
89,1,0.500143,0.0005719103
90,0,0.4968283,-0.012686919
91,0,0.50313777,0.012551174
92,1,0.49617675,-0.015293293
93,0,0.51505214,0.06022681
94,1,0.5059978,0.023992332
95,1,0.50399226,0.015969314
96,0,0.51120675,0.044834502
97,0,0.5041405,0.01656228
98,0,0.51990193,0.07964985
99,0,0.49499166,-0.020034019
100,0,0.49746504,-0.010139719
101,1,0.4962954,-0.014818776
102,0,0.49645546,-0.014178306
103,1,0.49791506,-0.008339953
104,0,0.48674262,-0.053042
105,1,0.49684873,-0.012605246
106,1,0.5021416,0.008566387
107,1,0.5014735,0.005893968
108,0,0.4892257,-0.043103855
109,0,0.49205622,-0.03177764
110,0,0.49593607,-0.01625621
111,0,0.49787357,-0.008505657
112,1,0.5093926,0.03757479
113,1,0.50014675,0.0005870536
114,1,0.5006341,0.0025362782
115,0,0.48002458,-0.07994422
116,1,0.52527684,0.10119367
117,0,0.48326296,-0.06697318
118,1,0.50091237,0.0036493577
119,0,0.5005367,0.0021467432
120,0,0.49001387,-0.039949853
121,1,0.49823633,-0.007054463
122,1,0.49807197,-0.0077119917
123,0,0.50775033,0.03100387
124,0,0.49935412,-0.0025835
125,0,0.49530673,-0.01877356
126,0,0.50658923,0.026358362
127,0,0.48924476,-0.04302765
128,0,0.5076069,0.030429939
129,1,0.5152964,0.061204664
130,0,0.5066977,0.026792485
131,0,0.4988531,-0.004587572
132,0,0.506803,0.027213544
133,0,0.49221036,-0.031161118
134,0,0.4982114,-0.0071542524
135,0,0.5037019,0.014807951
136,0,0.5146068,0.05844371
137,1,0.50006557,0.00026234612
138,0,0.50557643,0.02230663
139,1,0.49840567,-0.00637744
140,1,0.50125706,0.0050281677
141,0,0.50277,0.011080027
142,0,0.49402058,-0.023918774
143,0,0.4979441,-0.008223679
144,0,0.48484915,-0.060621735
145,0,0.49152663,-0.033896808
146,1,0.5029949,0.011979658
147,0,0.4958444,-0.016622763
148,1,0.49947935,-0.0020825788
149,1,0.5138377,0.055364832
150,0,0.4934854,-0.026059832
151,1,0.50642216,0.025690135
152,0,0.48767257,-0.04931969
153,0,0.49569473,-0.0172216
