,y_true,y_prob,y_raw
0,0,0.52127963,0.085170105
1,0,0.50555235,0.02221035
2,1,0.50907475,0.036302924
3,0,0.50555235,0.02221035
4,0,0.5145974,0.05840623
5,0,0.5109384,0.04376058
6,1,0.51438075,0.05753904
7,1,0.5179118,0.071677834
8,0,0.50555235,0.02221035
9,0,0.5117774,0.04711837
10,0,0.50555235,0.02221035
11,1,0.5106193,0.04248368
12,1,0.50555235,0.02221035
13,1,0.521663,0.08670615
14,1,0.5266649,0.10676107
15,0,0.5114594,0.045845494
16,0,0.50555235,0.02221035
17,1,0.51405,0.056214817
18,1,0.518063,0.07228349
19,0,0.50555235,0.02221035
20,0,0.5165464,0.06621002
21,1,0.51733625,0.06937292
22,1,0.5199637,0.07989727
23,0,0.5181247,0.07253069
24,1,0.5093003,0.037205476
25,0,0.5173928,0.069599405
26,0,0.5109948,0.043986343
27,1,0.5190308,0.07616001
28,0,0.51161134,0.046453785
29,0,0.50555235,0.02221035
30,0,0.51638937,0.06558085
31,0,0.50555235,0.02221035
32,0,0.51952904,0.078155965
33,0,0.5117657,0.047071636
34,0,0.51869595,0.074818656
35,1,0.50555235,0.02221035
36,1,0.50989515,0.039585847
37,0,0.52085,0.08344847
38,0,0.5107933,0.04318002
39,0,0.52410793,0.09650642
40,1,0.51920813,0.07687037
41,1,0.5235707,0.09435287
42,0,0.50555235,0.02221035
43,0,0.5199096,0.079680696
44,0,0.5135061,0.05403769
45,0,0.5179775,0.071940996
46,0,0.5185216,0.07412017
47,0,0.51576346,0.06307467
48,1,0.5168527,0.0674364
49,0,0.51955825,0.07827294
50,1,0.50555235,0.02221035
51,1,0.5188828,0.07556705
52,0,0.5232481,0.093059435
53,0,0.52001715,0.0801115
54,1,0.5137446,0.054992232
55,1,0.5165725,0.06631409
56,1,0.52472085,0.09896399
57,0,0.5207501,0.08304803
58,1,0.51730525,0.06924869
59,0,0.50555235,0.02221035
60,0,0.5209867,0.08399604
61,1,0.50555235,0.02221035
62,1,0.50555235,0.02221035
63,1,0.50555235,0.02221035
64,1,0.51826197,0.0730803
65,1,0.51306564,0.052274507
66,1,0.5244509,0.097881615
67,0,0.50555235,0.02221035
68,1,0.5188823,0.075565174
69,0,0.5101468,0.040592846
70,0,0.5301972,0.1209358
71,0,0.5062771,0.025109563
72,1,0.5103066,0.04123234
73,1,0.5186048,0.07445364
74,0,0.5146522,0.058625426
75,0,0.51311404,0.052468203
76,0,0.5273377,0.10945985
77,1,0.51677656,0.06713154
78,1,0.5194739,0.077934965
79,0,0.50886244,0.035453275
80,0,0.50555235,0.02221035
81,1,0.52353066,0.094192356
82,1,0.50555235,0.02221035
83,1,0.50555235,0.02221035
84,1,0.51757395,0.07032469
85,0,0.5180986,0.07242599
86,1,0.50555235,0.02221035
87,0,0.5228382,0.091416225
88,0,0.52834153,0.113487795
89,1,0.5248844,0.09961982
90,0,0.50555235,0.02221035
91,0,0.52292365,0.09175891
92,1,0.51699495,0.068006024
93,0,0.5199081,0.079674415
94,1,0.52357525,0.09437087
95,1,0.5214928,0.08602406
96,0,0.51329875,0.05320759
97,0,0.5255533,0.10230215
98,0,0.52694553,0.10788658
99,0,0.50555235,0.02221035
100,0,0.51108384,0.04434266
101,1,0.5157225,0.06291079
102,0,0.51781887,0.07130575
103,1,0.5140179,0.056086093
104,0,0.5201638,0.08069873
105,1,0.5142461,0.056999847
106,1,0.5281906,0.1128822
107,1,0.50555235,0.02221035
108,0,0.52042466,0.08174425
109,0,0.50555235,0.02221035
110,0,0.5176279,0.07054085
111,0,0.51205355,0.04822368
112,1,0.52282274,0.091354415
113,1,0.5172431,0.06899984
114,1,0.52102095,0.084133424
115,0,0.50555235,0.02221035
116,1,0.50555235,0.02221035
117,0,0.50555235,0.02221035
118,1,0.52770454,0.11093177
119,0,0.52222234,0.088948
120,0,0.51403475,0.056153636
121,1,0.50555235,0.02221035
122,1,0.5135396,0.05417162
123,0,0.49835864,-0.0065653957
124,0,0.5125207,0.050093032
125,0,0.50555235,0.02221035
126,0,0.5271553,0.10872801
127,0,0.50555235,0.02221035
128,0,0.5176145,0.07048696
129,1,0.52139866,0.085647
130,0,0.5184586,0.07386802
131,0,0.51910603,0.076461315
132,0,0.50555235,0.02221035
133,0,0.52318317,0.09279929
134,0,0.50555235,0.02221035
135,0,0.50555235,0.02221035
136,0,0.50905305,0.03621619
137,1,0.51432425,0.057312675
138,0,0.5179775,0.071940996
139,1,0.52329075,0.09323048
140,1,0.5163989,0.065619215
141,0,0.50555235,0.02221035
142,0,0.509258,0.03703621
143,0,0.50555235,0.02221035
144,0,0.5098325,0.039335173
145,0,0.5128332,0.05134405
146,1,0.5132577,0.053043302
147,0,0.516702,0.066832826
148,1,0.51497716,0.059926484
149,1,0.50555235,0.02221035
150,0,0.51445687,0.057843518
151,1,0.51071185,0.04285402
152,0,0.5175882,0.070381805
153,0,0.51536465,0.06147795
154,0,0.515194,0.060794637
155,0,0.50555235,0.02221035
156,0,0.5127385,0.050965175
157,1,0.51822716,0.072941035
158,0,0.5174937,0.07000355
159,1,0.51067525,0.042707503
160,0,0.5141701,0.056695588
161,1,0.517224,0.0689233
162,0,0.51909477,0.07641623
163,1,0.5158727,0.06351231
164,1,0.51730394,0.0692435
165,0,0.51689035,0.06758703
166,0,0.5198434,0.07941535
167,1,0.51707166,0.068313316
168,1,0.51746637,0.06989388
169,1,0.5113243,0.045304812
170,1,0.528064,0.112374246
171,1,0.52042586,0.08174884
172,0,0.50555235,0.02221035
173,0,0.50555235,0.02221035
174,1,0.51648396,0.06595974
175,0,0.50555235,0.02221035
176,0,0.5205254,0.08214776
177,0,0.5188828,0.07556705
178,1,0.51810545,0.072453395
179,0,0.50555235,0.02221035
180,1,0.51507163,0.060304817
181,0,0.5276173,0.110581756
182,0,0.50555235,0.02221035
183,1,0.52223676,0.089005776
184,1,0.52219814,0.088850886
185,1,0.50639755,0.02559166
186,0,0.51709443,0.06840438
187,0,0.5143881,0.057568375
188,0,0.52226675,0.08912596
189,1,0.5314715,0.12605251
190,0,0.5210424,0.08421956
191,1,0.51979655,0.079227604
192,1,0.50555235,0.02221035
193,1,0.5189054,0.07565759
194,0,0.50555235,0.02221035
195,0,0.51403326,0.056147803
196,0,0.50555235,0.02221035
197,1,0.51379585,0.055197395
198,0,0.5242136,0.096930444
199,0,0.5251072,0.10051355
200,1,0.509747,0.03899295
201,0,0.515194,0.060794637
202,0,0.50555235,0.02221035
203,1,0.50555235,0.02221035
204,1,0.5122849,0.049149342
205,0,0.50555235,0.02221035
206,0,0.50555235,0.02221035
207,0,0.50555235,0.02221035
208,0,0.5216254,0.08655582
209,1,0.5169123,0.067674965
210,0,0.5210203,0.08413078
211,0,0.526313,0.10534923
212,0,0.51822555,0.072934516
213,0,0.5214765,0.08595905
214,0,0.50555235,0.02221035
215,0,0.5194464,0.07782465
216,1,0.51931196,0.0772864
217,0,0.50555235,0.02221035
218,0,0.5328628,0.1316409
219,0,0.50555235,0.02221035
220,0,0.5217743,0.08715225
221,0,0.50555235,0.02221035
222,1,0.5237352,0.095012315
223,0,0.51908743,0.07638691
224,1,0.51716423,0.06868406
225,1,0.5121341,0.048545923
226,0,0.5104467,0.041793026
227,0,0.50555235,0.02221035
228,0,0.5156631,0.06267295
229,0,0.52338004,0.09358859
230,1,0.5036093,0.014437554
231,1,0.51257914,0.050327227
232,0,0.51159936,0.046405863
233,0,0.50555235,0.02221035
234,0,0.50555235,0.02221035
235,1,0.50555235,0.02221035
236,0,0.50555235,0.02221035
237,0,0.50555235,0.02221035
238,0,0.5163126,0.065273516
239,0,0.5079057,0.031625353
240,0,0.50555235,0.02221035
241,0,0.50555235,0.02221035
242,1,0.51510376,0.06043344
243,0,0.50555235,0.02221035
244,0,0.5145149,0.058075894
245,0,0.50555235,0.02221035
246,0,0.515611,0.06246423
