,y_true,y_prob,y_raw
0,0,0.5246137,0.098534346
1,0,0.5145202,0.05809726
2,1,0.52708006,0.10842641
3,0,0.51892775,0.07574717
4,0,0.5109248,0.043706246
5,0,0.52132136,0.08533716
6,1,0.5117353,0.046949826
7,1,0.5168226,0.06731556
8,0,0.5055971,0.022389393
9,0,0.5247972,0.099270225
10,0,0.5156,0.062420312
11,1,0.52154905,0.086249486
12,1,0.5151653,0.060679886
13,1,0.51412135,0.05650041
14,1,0.51498467,0.059956655
15,0,0.5229764,0.09197022
16,0,0.5055971,0.022389393
17,1,0.5169327,0.06775679
18,1,0.51198274,0.047940098
19,0,0.5192543,0.077055365
20,0,0.51593786,0.063773036
21,1,0.51733005,0.06934796
22,1,0.526734,0.107038125
23,0,0.5055971,0.022389393
24,1,0.51097935,0.04392461
25,0,0.5208515,0.08345442
26,0,0.5207147,0.082906395
27,1,0.5110126,0.04405749
28,0,0.50982654,0.039311055
29,0,0.5130563,0.052237004
30,0,0.51359403,0.054389484
31,0,0.51953954,0.078197874
32,0,0.51898086,0.07595989
33,0,0.5255638,0.10234429
34,0,0.5055971,0.022389393
35,1,0.5133736,0.05350724
36,1,0.50715524,0.028622817
37,0,0.5055971,0.022389393
38,0,0.52827305,0.11321294
39,0,0.519113,0.07648946
40,1,0.5265626,0.10635026
41,1,0.5100798,0.040324755
42,0,0.5138861,0.05555875
43,0,0.51234335,0.04938344
44,0,0.51694715,0.06781466
45,0,0.52715164,0.10871361
46,0,0.51656365,0.0662787
47,0,0.52138233,0.08558145
48,1,0.5172054,0.068848856
49,0,0.5127069,0.05083834
50,1,0.5182681,0.073104925
51,1,0.5083315,0.033329014
52,0,0.5248099,0.09932126
53,0,0.5055971,0.022389393
54,1,0.5114628,0.045859393
55,1,0.5145932,0.05838923
56,1,0.523286,0.09321127
57,0,0.5055971,0.022389393
58,1,0.5142673,0.057084724
59,0,0.51761293,0.07048085
60,0,0.5055971,0.022389393
61,1,0.520324,0.08134087
62,1,0.51418555,0.0567573
63,1,0.51511294,0.060470197
64,1,0.50944054,0.03776662
65,1,0.5134071,0.053641375
66,1,0.5042654,0.01706205
67,0,0.52380055,0.095274135
68,1,0.5055971,0.022389393
69,0,0.52005184,0.08025047
70,0,0.5055971,0.022389393
71,0,0.5214801,0.085973345
72,1,0.5155425,0.06219022
73,1,0.51241696,0.04967804
74,0,0.5055971,0.022389393
75,0,0.52067965,0.082765654
76,0,0.5219914,0.088022366
77,1,0.52134496,0.08543165
78,1,0.5242899,0.09723624
79,0,0.506702,0.026809666
80,0,0.5128566,0.051437825
81,1,0.51477414,0.059113853
82,1,0.51929,0.07719825
83,1,0.51340336,0.05362616
84,1,0.5208078,0.083279416
85,0,0.52172667,0.08696144
86,1,0.5244072,0.097706616
87,0,0.5055971,0.022389393
88,0,0.5055971,0.022389393
89,1,0.5226068,0.09048882
90,0,0.5306104,0.12259485
91,0,0.5112446,0.044986095
92,1,0.5170416,0.068192795
93,0,0.5055971,0.022389393
94,1,0.52297103,0.09194891
95,1,0.52023154,0.08097039
96,0,0.5055971,0.022389393
97,0,0.49369425,-0.025224205
98,0,0.5055971,0.022389393
99,0,0.5055971,0.022389393
100,0,0.5055971,0.022389393
101,1,0.515275,0.061118998
102,0,0.5055971,0.022389393
103,1,0.5213906,0.0856146
104,0,0.51748574,0.06997149
105,1,0.51795936,0.071868345
106,1,0.51228815,0.04916241
107,1,0.5205029,0.082057625
108,0,0.5055971,0.022389393
109,0,0.52159864,0.08644837
110,0,0.5055971,0.022389393
111,0,0.5055971,0.022389393
112,1,0.5055971,0.022389393
113,1,0.5055971,0.022389393
114,1,0.5095709,0.03828824
115,0,0.5055971,0.022389393
116,1,0.5256123,0.10253887
117,0,0.5055971,0.022389393
118,1,0.52333736,0.09341739
119,0,0.5212823,0.085180655
120,0,0.52541786,0.101759195
121,1,0.5055971,0.022389393
122,1,0.52286524,0.09152466
123,0,0.5055971,0.022389393
124,0,0.51897675,0.075943485
125,0,0.5055971,0.022389393
126,0,0.52706844,0.10837971
127,0,0.5055971,0.022389393
128,0,0.5055971,0.022389393
129,1,0.52605134,0.104299724
130,0,0.5213015,0.085257664
131,0,0.5177532,0.071042664
132,0,0.52113205,0.08457838
133,0,0.52291244,0.091713935
134,0,0.52696776,0.1079759
135,0,0.52732563,0.10941163
136,0,0.5055971,0.022389393
137,1,0.5163607,0.06546627
138,0,0.5158585,0.06345532
139,1,0.5055971,0.022389393
140,1,0.5055971,0.022389393
141,0,0.5253897,0.10164617
142,0,0.51647186,0.06591117
143,0,0.49878415,-0.004863359
144,0,0.52083695,0.083396
145,0,0.52117,0.08473084
146,1,0.51444787,0.05780757
147,0,0.5296248,0.11863841
148,1,0.5055971,0.022389393
149,1,0.5108968,0.043594174
150,0,0.5146051,0.058437202
151,1,0.5178984,0.07162394
152,0,0.5238836,0.09560715
153,0,0.51595795,0.06385332
154,0,0.518522,0.07412192
155,0,0.52329963,0.093265936
156,0,0.52066153,0.08269331
157,1,0.5080886,0.03235711
158,0,0.5142082,0.056847937
159,1,0.5055971,0.022389393
160,0,0.5055971,0.022389393
161,1,0.52159446,0.08643174
162,0,0.52052104,0.08213039
163,1,0.51978135,0.079166695
164,1,0.51593244,0.063751385
165,0,0.5173078,0.06925884
166,0,0.5055971,0.022389393
167,1,0.51502,0.06009818
168,1,0.5055971,0.022389393
169,1,0.51425666,0.057042122
170,1,0.5246887,0.098835245
171,1,0.511044,0.04418329
172,0,0.5245033,0.09809175
