,y_true,y_prob,y_raw
0,0,0.5461376,0.18507689
1,0,0.54871386,0.19547547
2,1,0.5520898,0.20911793
3,0,0.5422957,0.1695881
4,0,0.5430001,0.1724265
5,0,0.5452769,0.18160513
6,1,0.54610336,0.18493882
7,1,0.5477595,0.19162229
8,0,0.54549176,0.18247166
9,0,0.54570544,0.18333367
10,0,0.5443566,0.1778941
11,1,0.5447529,0.17949188
12,1,0.5506774,0.20340799
13,1,0.54659283,0.1869136
14,1,0.5492041,0.19745548
15,0,0.545896,0.18410228
16,0,0.5477317,0.19151002
17,1,0.55256224,0.21102884
18,1,0.5482766,0.19370997
19,0,0.54409826,0.17685276
20,0,0.5529272,0.21250485
21,1,0.5441119,0.17690764
22,1,0.5466881,0.18729782
23,0,0.54377353,0.17554338
24,1,0.54550165,0.18251166
25,0,0.55071753,0.20357022
26,0,0.54695964,0.18839382
27,1,0.54728264,0.18969749
28,0,0.54547817,0.1824169
29,0,0.5463127,0.18578306
30,0,0.5458523,0.18392597
31,0,0.54452723,0.1785821
32,0,0.541681,0.16711186
33,0,0.5482046,0.19341917
34,0,0.5426772,0.17112532
35,1,0.5474378,0.19032365
36,1,0.5542876,0.21800976
37,0,0.5453919,0.18206914
38,0,0.54578406,0.18365079
39,0,0.55082166,0.2039911
40,1,0.54390925,0.17609069
41,1,0.54534626,0.18188477
42,0,0.54754305,0.19074836
43,0,0.5471851,0.18930382
44,0,0.54530287,0.1817098
45,0,0.54563075,0.1830324
46,0,0.54714054,0.1891238
47,0,0.54262716,0.17092356
48,1,0.5440866,0.17680533
49,0,0.5442323,0.17739299
50,1,0.5481235,0.19309166
51,1,0.5463408,0.18589677
52,0,0.54919606,0.19742307
53,0,0.54907453,0.19693205
54,1,0.55026716,0.20175001
55,1,0.54875857,0.19565614
56,1,0.54108554,0.16471346
57,0,0.5422492,0.16940081
58,1,0.5453774,0.18201052
59,0,0.5430745,0.17272618
60,0,0.5478494,0.19198509
61,1,0.5502148,0.2015387
62,1,0.54632354,0.18582726
63,1,0.5470456,0.1887407
64,1,0.5445385,0.17862752
65,1,0.54805374,0.19280998
66,1,0.5477135,0.19143647
67,0,0.5441341,0.17699683
68,1,0.54717237,0.18925236
69,0,0.546936,0.18829846
70,0,0.54738885,0.19012609
71,0,0.54611564,0.18498836
72,1,0.5390318,0.15644549
73,1,0.5451259,0.18099622
74,0,0.54689014,0.1881134
75,0,0.5540611,0.21709318
76,0,0.55048925,0.20264763
77,1,0.5467199,0.18742627
78,1,0.5513954,0.20631048
79,0,0.54341704,0.1741067
80,0,0.54637104,0.18601859
81,1,0.5490608,0.19687682
82,1,0.5421685,0.16907571
83,1,0.5498332,0.19999665
84,1,0.54762954,0.19109753
85,0,0.54695284,0.1883665
86,1,0.5419383,0.16814841
87,0,0.5461382,0.18507957
88,0,0.54624796,0.18552212
89,1,0.5434057,0.17406094
90,0,0.5472034,0.1893777
91,0,0.54295933,0.17226201
92,1,0.54224104,0.16936782
93,0,0.54816455,0.19325754
94,1,0.54479176,0.17964886
95,1,0.5478476,0.1919781
96,0,0.5443014,0.17767145
97,0,0.5464951,0.18651934
98,0,0.54824406,0.19357847
99,0,0.54328275,0.17356536
100,0,0.54574114,0.1834776
101,1,0.545978,0.18443292
102,0,0.54396415,0.17631182
103,1,0.5457799,0.18363383
104,0,0.5470104,0.18859859
105,1,0.5424646,0.17026858
106,1,0.5484096,0.1942469
107,1,0.54559714,0.18289669
108,0,0.5434328,0.17417002
109,0,0.547633,0.19111145
110,0,0.54598475,0.18446012
111,0,0.54938376,0.19818117
112,1,0.5460229,0.1846143
113,1,0.54834104,0.19397002
114,1,0.54622334,0.18542284
115,0,0.5444003,0.17807005
116,1,0.5526157,0.21124496
117,0,0.547466,0.19043745
118,1,0.54700303,0.18856888
119,0,0.5481219,0.19308543
120,0,0.5443474,0.17785703
121,1,0.54633695,0.185881
122,1,0.54592645,0.18422525
123,0,0.5502374,0.20162992
124,0,0.5478479,0.19197911
125,0,0.54595137,0.1843255
126,0,0.5508052,0.20392458
127,0,0.5479929,0.19256422
128,0,0.54770094,0.1913858
129,1,0.54442513,0.17817047
130,0,0.54316753,0.17310117
131,0,0.5429955,0.17240766
132,0,0.54717016,0.18924344
133,0,0.5504993,0.20268843
134,0,0.54847986,0.1945306
135,0,0.54819226,0.19336931
136,0,0.54451066,0.17851506
137,1,0.54307204,0.17271627
138,0,0.54660976,0.18698204
139,1,0.548552,0.1948217
140,1,0.54233426,0.16974333
141,0,0.54440314,0.17808187
142,0,0.5455557,0.18272969
143,0,0.54739803,0.19016318
144,0,0.54857415,0.1949114
145,0,0.54292846,0.17213745
146,1,0.5485169,0.1946803
147,0,0.5444337,0.178205
148,1,0.5447256,0.17938183
149,1,0.5478923,0.19215824
150,0,0.54797333,0.1924855
151,1,0.5454266,0.18220879
152,0,0.54835546,0.1940282
153,0,0.54751915,0.19065201
154,0,0.54833144,0.19393131
155,0,0.5435365,0.17458785
156,0,0.5459155,0.18418086
157,1,0.5467092,0.18738317
158,0,0.54568654,0.18325719
159,1,0.54655415,0.1867576
160,0,0.5541516,0.21745922
161,1,0.55071306,0.20355205
162,0,0.5430319,0.17255446
163,1,0.5478892,0.19214569
164,1,0.5488769,0.19613387
165,0,0.54193777,0.1681461
166,0,0.5456749,0.18321049
167,1,0.5481714,0.19328505
168,1,0.5489582,0.19646211
169,1,0.54667646,0.1872512
170,1,0.5458921,0.18408665
171,1,0.5510423,0.20488314
172,0,0.54439723,0.178058
173,0,0.54454225,0.17864254
174,1,0.5503241,0.20198014
175,0,0.5458604,0.18395858
176,0,0.55022824,0.20159294
177,0,0.54951966,0.19873017
178,1,0.54640275,0.18614678
179,0,0.5493613,0.19809043
180,1,0.54436797,0.17793983
181,0,0.5461927,0.18529913
182,0,0.5499194,0.20034495
183,1,0.54497993,0.18040757
184,1,0.54782385,0.19188201
185,1,0.5417998,0.1675902
186,0,0.54394,0.17621455
187,0,0.54530406,0.18171462
188,0,0.54919946,0.19743682
189,1,0.5489317,0.1963554
190,0,0.54860735,0.19504547
191,1,0.5443524,0.17787716
192,1,0.5474651,0.19043382
193,1,0.544608,0.17890772
194,0,0.54480904,0.17971823
195,0,0.54562604,0.18301333
196,0,0.54406124,0.17670316
197,1,0.5498702,0.20014623
198,0,0.5466142,0.18699995
199,0,0.5462056,0.18535116
200,1,0.54671663,0.1874132
201,0,0.5422906,0.1695675
202,0,0.5480254,0.19269572
203,1,0.5466072,0.18697163
204,1,0.5432827,0.17356512
205,0,0.54439706,0.17805731
206,0,0.54636556,0.18599659
207,0,0.54290944,0.17206113
208,0,0.545311,0.1817424
209,1,0.5414569,0.16620898
210,0,0.5484781,0.19452369
211,0,0.5452403,0.18145737
212,0,0.54354906,0.1746387
213,0,0.5476208,0.19106233
214,0,0.5459821,0.18444966
215,0,0.54552525,0.18260682
216,1,0.5415529,0.16659594
217,0,0.5473918,0.1901378
218,0,0.5427446,0.1713967
219,0,0.5484038,0.19422348
220,0,0.5464845,0.18647638
221,0,0.5420941,0.168776
222,1,0.54539007,0.18206158
223,0,0.54618907,0.1852845
224,1,0.5482323,0.19353104
225,1,0.5438079,0.1756823
226,0,0.5465395,0.18669829
227,0,0.5431971,0.17322026
228,0,0.5457863,0.18365976
229,0,0.5446069,0.17890337
230,1,0.54524946,0.18149434
231,1,0.54467493,0.1791774
232,0,0.54756904,0.1908535
233,0,0.5467775,0.18765868
234,0,0.54600984,0.18456161
235,1,0.5453156,0.18176118
236,0,0.5474073,0.1902006
237,0,0.5479955,0.1925751
238,0,0.5471616,0.18920872
239,0,0.546396,0.1861195
240,0,0.54660285,0.18695395
241,0,0.5478019,0.19179344
242,1,0.5471837,0.18929791
243,0,0.54557115,0.18279201
244,0,0.5460124,0.18457183
245,0,0.54742485,0.19027133
246,0,0.5464926,0.18650909
247,0,0.54420906,0.17729919
248,0,0.5440866,0.17680548
249,0,0.54682994,0.18787043
250,1,0.54701066,0.18859975
251,1,0.54755,0.19077654
252,0,0.5431589,0.1730664
253,0,0.5482975,0.19379435
254,1,0.5508215,0.20399043
255,0,0.5485051,0.19463262
256,0,0.5482523,0.19361164
257,1,0.5498407,0.20002703
258,1,0.54715866,0.18919703
259,0,0.5441971,0.17725095
260,1,0.5481815,0.19332588
261,0,0.54821384,0.19345653
262,0,0.54833883,0.19396122
263,0,0.54601836,0.1845959
264,1,0.55345166,0.21462688
265,0,0.54354376,0.17461735
266,0,0.5468166,0.18781647
267,0,0.55064416,0.20327379
268,1,0.5428971,0.17201112
269,0,0.5520548,0.20897648
270,1,0.5446788,0.17919317
271,0,0.546171,0.18521182
272,0,0.5447271,0.17938806
273,0,0.54934675,0.1980316
274,1,0.5502742,0.20177871
275,0,0.54423946,0.17742178
276,1,0.5528927,0.21236509
277,0,0.54431254,0.1777165
278,0,0.5449058,0.18010843
279,0,0.54502,0.18056893
280,1,0.5431979,0.17322339
281,0,0.5485126,0.19466273
282,1,0.543368,0.17390887
283,0,0.5469286,0.1882686
284,0,0.5441946,0.17724082
285,0,0.54675794,0.1875799
286,1,0.5486126,0.19506654
287,0,0.5476084,0.19101213
288,1,0.5485911,0.1949798
