,y_true,y_prob,y_raw
0,0,0.5378631,0.15174283
1,0,0.53156656,0.1264342
2,1,0.53808373,0.1526305
3,0,0.53780043,0.15149064
4,0,0.53052956,0.122270375
5,0,0.5330118,0.13223958
6,1,0.5276814,0.110838965
7,1,0.5414021,0.16598862
8,0,0.54039145,0.16191874
9,0,0.54190284,0.16800532
10,0,0.5341179,0.136684
11,1,0.5332766,0.1333037
12,1,0.5340657,0.13647437
13,1,0.53169715,0.1269588
14,1,0.5289795,0.11604783
15,0,0.53208923,0.12853353
16,0,0.54029113,0.16151485
17,1,0.53181046,0.12741396
18,1,0.5324685,0.13005713
19,0,0.53657395,0.14655754
20,0,0.53120905,0.124998674
21,1,0.53061676,0.12262042
22,1,0.54283327,0.171754
23,0,0.5286136,0.11457987
24,1,0.5402893,0.1615072
25,0,0.5319937,0.12814978
26,0,0.53150874,0.12620217
27,1,0.53390265,0.13581909
28,0,0.53608066,0.14457394
29,0,0.538373,0.1537943
30,0,0.536205,0.14507388
31,0,0.5405067,0.1623827
32,0,0.5389364,0.1560616
33,0,0.53416234,0.1368627
34,0,0.5326048,0.13060465
35,1,0.53474903,0.13922068
36,1,0.5335788,0.13451788
37,0,0.5346473,0.13881156
38,0,0.53413415,0.13674939
39,0,0.53385454,0.13562565
40,1,0.5422333,0.16933656
41,1,0.53303325,0.1323259
42,0,0.5294427,0.117907345
43,0,0.53563714,0.14279073
44,0,0.5357606,0.14328712
45,0,0.54088455,0.16390416
46,0,0.533067,0.13246144
47,0,0.5344336,0.13795295
48,1,0.53656584,0.14652497
49,0,0.53439015,0.13777809
50,1,0.53130287,0.12537542
51,1,0.5348034,0.13943908
52,0,0.540319,0.16162711
53,0,0.54125875,0.16541119
54,1,0.53205293,0.12838778
55,1,0.53058124,0.12247786
56,1,0.5335735,0.13449636
57,0,0.5329005,0.13179252
58,1,0.53091353,0.12381205
59,0,0.53551376,0.14229475
60,0,0.5179952,0.07201191
61,1,0.53605807,0.14448307
62,1,0.53404164,0.13637775
63,1,0.53159946,0.12656651
64,1,0.53719056,0.14903747
65,1,0.5363929,0.1458296
66,1,0.53438306,0.13774973
67,0,0.5399115,0.1599865
68,1,0.5381955,0.15308034
69,0,0.5411293,0.1648898
70,0,0.5396547,0.15895241
71,0,0.5312434,0.12513642
72,1,0.53687745,0.14777832
73,1,0.53436446,0.13767487
74,0,0.5324033,0.12979501
75,0,0.52994937,0.11994101
76,0,0.5433024,0.17364477
77,1,0.53532666,0.14154238
78,1,0.5389709,0.15620047
79,0,0.5346814,0.13894866
80,0,0.53192455,0.1278723
81,1,0.54105514,0.16459136
82,1,0.53285986,0.13162921
83,1,0.53524405,0.1412104
84,1,0.5369788,0.1481857
85,0,0.53007215,0.12043393
86,1,0.535599,0.14263742
87,0,0.53610504,0.14467195
88,0,0.53873694,0.15525876
89,1,0.5352868,0.14138226
90,0,0.5338848,0.13574752
91,0,0.5358145,0.14350381
92,1,0.5330245,0.1322906
93,0,0.5376977,0.15107743
94,1,0.53046405,0.122007355
95,1,0.53026325,0.12120131
96,0,0.5397677,0.1594074
97,0,0.534018,0.13628244
98,0,0.535449,0.14203443
99,0,0.53545,0.14203824
