,y_true,y_prob
0,1,1
1,1,1
2,0,1
3,1,1
4,1,1
5,1,1
6,0,0
7,1,1
8,1,1
9,0,0
10,1,1
11,0,1
12,0,0
13,0,1
14,1,1
15,1,0
16,1,1
17,1,1
18,1,1
19,1,1
20,0,0
21,1,1
22,0,0
23,1,1
24,1,1
25,1,0
26,0,0
27,1,1
28,0,0
29,1,0
30,0,1
31,1,1
32,0,0
33,1,1
34,0,0
35,0,1
36,1,1
37,1,1
38,1,0
39,1,1
40,1,1
41,1,1
42,0,0
43,0,0
44,0,0
45,1,0
46,0,1
47,1,0
48,1,1
49,1,1
50,1,0
51,0,0
52,1,1
53,0,0
54,0,0
55,0,0
56,1,1
57,1,1
58,1,0
59,1,1
60,1,1
61,1,1
62,0,0
63,0,0
64,0,0
65,1,1
66,0,0
67,0,0
68,1,1
69,0,0
70,0,0
71,1,0
72,0,1
73,1,1
74,1,0
75,1,1
76,1,1
77,0,1
78,0,0
79,0,0
80,1,0
81,0,1
82,1,1
83,0,1
84,1,1
85,0,0
86,0,1
87,1,1
88,1,1
89,1,0
90,1,0
91,1,1
92,1,1
93,0,0
94,0,0
95,0,0
96,1,1
97,0,0
98,1,1
99,0,0
100,1,1
101,0,1
102,1,0
103,0,0
104,0,1
105,1,1
106,1,1
107,0,0
108,0,1
109,0,0
110,0,0
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,0,1
117,1,1
118,0,0
119,0,0
120,0,0
121,1,0
122,0,0
123,1,1
124,1,1
125,0,0
126,0,0
127,0,0
128,1,1
129,0,1
130,0,0
131,0,0
132,0,1
133,0,0
134,0,0
135,1,1
136,1,1
137,0,1
138,0,0
139,0,0
140,0,1
141,1,1
142,0,0
143,1,1
144,0,0
145,1,1
146,0,0
147,0,0
148,0,0
149,0,0
150,1,1
151,0,0
152,0,0
153,0,0
154,1,0
155,1,1
156,1,0
157,1,1
158,0,0
159,0,0
160,0,1
161,1,1
162,1,1
163,1,1
164,0,0
165,0,0
166,0,0
167,1,0
168,0,0
169,1,1
170,1,1
171,1,1
172,0,0
173,0,0
174,0,0
175,1,1
176,1,1
177,0,0
178,1,1
179,1,1
180,1,0
181,0,0
182,0,0
183,1,1
184,1,1
185,0,0
186,1,0
187,1,0
188,0,0
189,0,1
190,0,0
191,0,0
192,0,0
193,1,1
194,0,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,0,0
202,1,1
203,1,1
204,1,1
205,0,0
206,1,1
207,1,1
208,1,0
209,0,1
210,1,1
211,1,1
212,1,1
213,0,0
214,0,0
215,0,0
216,0,0
217,1,1
218,0,0
219,0,1
220,0,1
221,0,0
222,0,1
223,0,0
224,1,0
225,1,1
226,1,0
227,1,1
228,1,1
229,0,0
230,1,1
231,0,0
232,0,0
233,1,0
234,1,1
235,0,1
236,1,1
237,0,1
238,1,1
239,1,1
240,1,1
241,0,0
242,0,0
243,1,1
244,0,0
245,0,0
246,1,1
247,0,1
248,1,1
249,0,1
250,0,1
251,0,0
252,0,0
253,0,0
254,1,1
255,0,0
256,0,0
257,1,1
258,0,0
259,0,1
260,1,1
261,0,0
262,0,1
263,0,1
264,0,0
265,1,1
266,0,0
267,0,0
268,1,0
269,0,0
270,0,1
271,0,0
272,1,1
273,1,1
274,1,1
275,1,1
276,0,1
277,1,1
278,0,0
279,0,0
280,1,1
281,0,0
282,0,1
283,1,1
284,1,1
285,1,1
286,0,0
287,1,1
288,1,1
289,1,1
290,0,0
291,0,1
292,0,0
293,1,1
294,1,1
295,0,0
296,0,0
297,0,0
298,0,0
299,0,1
300,0,0
301,0,0
302,1,1
303,0,0
304,0,0
305,1,0
306,0,0
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,0,0
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,0
320,0,1
321,0,1
322,1,1
323,1,1
324,0,0
325,0,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,1
331,0,0
332,0,0
333,1,1
334,0,1
335,1,1
336,1,1
337,0,0
338,0,0
339,0,0
340,1,1
341,0,0
342,0,0
343,1,1
344,0,1
345,1,1
346,1,1
347,1,1
348,0,0
349,0,0
350,1,1
351,1,1
352,0,0
353,1,1
354,0,1
355,1,1
356,0,1
357,0,0
358,0,1
359,1,1
360,0,0
361,1,1
362,1,1
363,0,0
364,0,0
365,0,0
366,1,1
367,1,1
368,0,0
369,1,1
370,0,0
371,1,1
372,1,1
373,1,1
374,0,1
375,0,0
376,0,0
377,1,1
378,0,0
379,1,1
380,0,0
381,0,0
382,0,0
383,1,1
384,1,1
385,0,1
386,1,1
387,0,0
388,1,1
389,1,0
390,1,1
391,0,0
392,0,0
393,1,0
394,1,0
395,1,1
396,1,1
397,0,1
398,0,0
399,0,0
400,0,0
401,1,1
402,1,1
403,1,0
404,0,1
405,0,0
406,1,1
407,1,0
408,1,1
409,1,1
410,0,0
411,1,1
412,1,1
413,1,1
414,1,0
415,1,1
416,0,0
417,1,0
418,0,0
419,0,0
420,0,0
421,0,0
422,1,1
423,0,0
424,0,1
425,1,1
426,1,1
427,0,0
428,1,0
429,0,1
430,0,0
431,0,0
432,0,0
433,1,0
434,1,1
435,0,0
436,0,0
437,0,0
438,0,0
439,1,1
440,0,1
441,1,1
442,1,1
443,1,1
444,1,1
445,0,0
446,0,0
447,1,1
448,0,1
449,0,1
450,0,0
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,0,0
458,1,1
459,0,1
460,0,0
461,1,1
462,0,0
463,1,1
464,1,1
465,1,1
466,1,1
467,0,0
468,0,0
469,0,0
470,0,0
471,1,1
472,1,0
473,0,0
474,1,1
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,1,1
481,0,0
482,0,0
483,1,0
484,0,1
485,0,0
486,0,0
487,1,1
488,0,1
489,1,1
490,0,0
491,0,0
492,1,1
493,1,1
494,0,0
495,1,0
496,1,1
497,1,1
498,0,0
499,1,1
500,1,1
501,0,0
502,1,1
503,0,1
504,0,0
505,1,0
506,1,1
507,0,0
508,1,1
509,1,1
510,0,1
511,1,1
512,0,0
513,0,0
514,0,0
515,0,0
516,1,1
517,1,1
518,1,1
519,0,0
520,0,1
521,1,1
522,0,0
523,0,1
524,1,1
525,1,1
526,1,1
527,0,0
528,0,0
529,0,0
530,0,1
531,1,1
532,1,1
533,1,1
534,0,0
535,1,1
536,1,0
537,1,1
538,0,0
539,1,1
540,1,0
541,0,1
542,0,0
543,0,0
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,0,1
550,0,0
551,1,1
552,0,0
553,0,0
554,0,1
555,1,1
556,1,1
557,0,1
558,1,1
559,1,1
560,0,0
561,1,1
562,1,1
563,0,1
564,0,1
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,1,0
571,1,1
572,1,1
573,1,1
574,0,0
575,0,0
576,1,1
577,0,0
578,1,1
579,1,0
580,0,1
581,0,1
582,1,1
583,1,1
584,0,0
585,0,0
586,1,1
587,0,0
588,1,1
589,0,0
590,1,1
591,0,0
592,0,0
593,1,1
594,1,1
595,0,0
596,1,0
597,0,0
598,1,0
599,0,0
600,1,0
601,1,1
602,0,1
603,0,0
604,0,0
605,1,1
606,1,0
607,1,1
608,0,1
609,0,0
610,1,1
611,1,1
612,1,0
613,1,0
614,1,1
615,1,1
616,1,0
617,1,1
618,1,1
619,0,0
620,1,1
621,1,0
622,0,0
623,1,0
624,1,1
625,1,1
626,0,1
627,0,0
628,1,1
629,1,1
630,1,0
631,0,0
632,0,0
633,0,0
634,0,1
635,1,1
636,1,0
637,1,1
638,0,0
639,1,1
640,1,1
641,1,1
642,1,0
643,0,0
644,1,1
645,0,0
646,0,0
647,1,1
648,0,1
649,1,1
650,0,0
651,1,1
652,0,0
653,0,0
654,0,0
655,0,0
656,0,1
657,0,1
658,1,1
659,1,1
660,0,0
661,0,0
662,1,1
663,1,1
664,1,1
665,0,0
666,1,1
667,1,1
668,0,1
669,0,0
670,0,0
671,1,1
672,0,0
673,0,0
674,0,0
675,1,1
676,1,0
677,1,0
678,1,1
679,1,0
680,1,1
681,0,1
682,1,1
683,1,1
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,1,1
690,0,0
691,1,0
692,1,1
693,1,1
694,1,1
695,1,1
696,0,1
697,1,1
698,0,0
699,0,0
700,1,1
701,0,0
702,0,0
703,1,1
704,0,0
705,1,0
706,1,1
707,0,0
708,0,0
709,0,1
710,0,0
711,0,0
712,1,1
713,1,1
714,1,1
715,1,1
716,1,1
717,0,0
718,1,1
719,0,0
720,0,0
721,0,0
722,1,1
723,0,0
724,1,1
725,0,0
726,0,1
727,1,1
728,1,1
729,1,1
730,0,0
731,1,0
732,0,0
733,1,1
734,0,0
735,0,0
736,0,0
737,1,1
738,1,1
739,1,0
740,0,0
741,1,1
742,1,1
743,0,1
744,0,0
745,1,1
746,1,1
747,0,0
748,1,1
749,1,1
750,0,0
751,0,0
752,1,1
753,0,0
754,1,1
755,1,1
756,0,0
757,0,0
758,0,0
759,1,1
760,0,0
761,0,0
762,0,0
763,1,1
764,0,0
765,1,0
766,0,1
767,1,0
768,1,1
769,1,1
770,1,1
771,0,0
772,0,0
773,1,1
774,0,1
775,1,1
776,1,1
777,0,0
778,0,0
779,0,0
780,1,0
781,0,0
782,1,1
783,1,0
784,1,0
785,1,1
786,0,0
787,1,1
788,1,0
789,1,1
790,0,0
791,0,0
792,0,0
793,0,1
794,0,1
795,1,1
796,1,0
797,1,1
798,1,1
799,1,1
800,1,0
801,0,0
802,1,0
803,0,0
804,0,0
805,1,1
806,1,0
807,0,0
808,1,0
809,1,1
810,0,0
811,1,0
812,0,0
813,0,0
814,0,0
815,0,0
816,1,0
817,0,0
818,0,0
819,1,1
820,1,1
821,1,1
822,1,1
823,0,0
824,0,0
825,1,0
826,1,1
827,1,0
828,0,0
829,0,0
830,1,1
831,1,1
832,1,1
833,0,0
834,0,1
835,1,1
836,0,0
837,0,0
838,1,1
839,0,0
840,0,0
841,1,0
842,0,1
843,1,1
844,1,1
845,0,0
846,1,0
847,0,1
848,1,1
849,0,0
850,1,1
851,0,0
852,0,0
853,1,0
854,0,0
855,0,1
856,0,1
857,0,0
858,1,1
859,1,0
860,1,1
861,1,1
862,1,0
863,0,0
864,1,1
865,0,1
866,1,1
867,1,1
868,0,0
869,0,0
870,1,1
871,1,1
872,0,0
873,1,1
874,1,1
875,1,1
876,1,1
877,0,0
878,0,0
879,0,0
880,1,0
881,1,1
882,1,1
883,1,1
884,1,1
885,1,1
886,1,1
887,0,0
888,0,0
889,0,0
890,1,1
891,1,1
892,0,0
893,1,1
894,1,1
895,0,0
896,0,0
897,1,1
898,1,1
899,0,0
900,1,1
901,0,0
902,0,0
903,0,0
904,1,1
905,1,1
906,1,1
907,0,0
908,1,1
909,1,1
910,1,1
911,1,0
912,0,0
913,0,0
914,1,1
915,0,1
916,0,0
917,1,1
918,0,0
919,0,1
920,1,1
921,1,0
922,1,1
923,1,1
924,1,1
925,1,1
926,1,1
927,0,0
928,0,0
929,1,0
930,1,1
931,1,0
932,1,0
933,0,0
934,1,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,1
940,1,1
941,0,0
942,1,1
943,0,0
944,0,0
945,0,0
946,0,0
947,0,1
948,1,0
949,0,0
950,0,0
951,1,1
952,1,1
953,1,1
954,1,1
955,1,1
956,1,1
957,0,0
958,1,0
959,1,1
960,0,0
961,1,0
962,1,0
963,1,0
964,1,1
965,1,1
966,1,1
967,1,1
968,0,0
969,0,0
970,0,0
971,1,1
972,0,1
973,1,1
974,1,1
975,0,1
976,0,0
977,0,0
978,1,1
979,0,1
980,0,0
981,1,0
982,0,0
983,0,0
984,1,0
985,0,0
986,1,0
987,1,1
988,1,1
989,0,1
990,1,1
991,1,0
992,1,0
993,0,0
994,1,1
995,0,0
996,0,0
997,1,1
998,0,0
999,1,1
1000,1,1
1001,0,0
1002,0,0
1003,0,1
1004,0,0
1005,0,1
1006,0,0
1007,0,1
1008,0,0
1009,1,1
1010,1,1
1011,0,0
1012,1,0
1013,1,1
1014,1,1
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,1,0
1020,0,0
1021,1,1
1022,1,1
1023,1,1
1024,1,1
1025,1,1
1026,0,0
1027,1,1
1028,1,1
1029,0,0
1030,1,1
1031,1,1
1032,0,1
1033,1,1
1034,0,1
1035,0,0
1036,1,0
1037,0,0
1038,0,0
1039,0,0
1040,1,1
1041,1,0
1042,1,1
1043,0,0
1044,1,1
1045,0,0
1046,1,1
1047,1,0
1048,0,0
1049,1,1
1050,0,0
1051,0,1
1052,1,1
1053,0,0
1054,1,0
1055,1,1
1056,1,1
1057,0,0
1058,1,0
1059,1,0
1060,0,0
1061,0,0
1062,0,1
1063,1,1
1064,1,1
1065,0,0
1066,0,0
1067,0,1
1068,1,1
1069,1,1
1070,1,0
1071,0,0
1072,1,1
1073,0,1
1074,0,0
1075,1,1
1076,0,0
1077,1,1
1078,1,1
1079,0,0
1080,1,1
1081,0,0
1082,0,0
1083,1,0
1084,0,0
1085,1,0
1086,1,1
1087,1,0
1088,1,1
1089,1,1
1090,0,0
1091,1,0
1092,0,0
1093,0,0
1094,0,0
1095,0,0
1096,1,1
1097,0,0
1098,1,1
1099,1,1
1100,1,1
1101,0,0
1102,0,0
1103,0,0
1104,1,1
1105,1,0
1106,1,1
1107,1,1
1108,0,0
1109,1,1
1110,1,1
1111,1,1
1112,1,0
1113,0,0
1114,0,0
1115,1,1
1116,1,1
1117,0,0
1118,1,0
1119,1,1
1120,0,0
1121,1,1
1122,1,0
1123,1,1
1124,0,1
1125,1,1
1126,0,0
1127,1,1
1128,0,0
1129,0,0
1130,0,0
1131,0,0
1132,1,1
1133,1,1
1134,1,0
1135,0,0
1136,0,0
1137,1,0
1138,0,1
1139,0,0
1140,1,0
1141,0,0
1142,1,1
1143,1,1
1144,0,1
1145,1,1
1146,0,1
1147,0,0
1148,0,0
1149,1,1
1150,1,0
1151,0,0
1152,1,0
1153,1,1
1154,1,1
1155,1,1
1156,1,1
1157,0,0
1158,0,0
1159,1,1
1160,1,0
1161,0,0
1162,1,1
1163,1,1
1164,1,1
1165,0,0
1166,0,0
1167,1,1
1168,0,0
1169,1,1
1170,0,0
1171,0,0
1172,0,1
1173,0,0
1174,0,0
1175,0,0
1176,0,0
1177,1,1
1178,0,0
1179,1,1
1180,1,1
1181,0,0
1182,1,1
1183,1,1
1184,0,0
1185,1,1
1186,0,1
1187,0,0
1188,1,0
1189,1,1
1190,1,1
1191,0,0
1192,0,0
1193,1,1
1194,1,1
1195,0,0
1196,1,1
1197,1,1
1198,0,0
1199,0,1
1200,0,0
1201,0,0
1202,1,1
1203,1,1
1204,0,1
1205,1,1
1206,0,0
1207,0,1
1208,1,1
1209,0,0
1210,1,1
1211,1,1
1212,0,0
1213,0,0
1214,1,1
1215,1,1
1216,0,0
1217,0,0
1218,0,1
1219,0,0
1220,0,0
1221,0,0
1222,1,1
1223,0,0
1224,1,0
1225,1,1
1226,1,1
1227,1,1
1228,1,1
1229,0,0
1230,1,0
1231,1,1
1232,1,1
1233,1,1
1234,0,1
1235,0,0
1236,1,1
1237,1,1
1238,1,1
1239,1,0
1240,1,1
1241,1,1
1242,1,1
1243,1,0
1244,0,0
1245,0,0
1246,1,1
1247,1,1
1248,0,1
1249,0,0
1250,1,1
1251,0,1
1252,0,1
1253,0,0
1254,0,0
1255,1,1
1256,1,1
1257,1,1
1258,0,0
1259,0,0
1260,1,1
1261,0,1
1262,1,1
1263,1,1
1264,1,1
1265,0,0
1266,1,1
1267,1,1
1268,0,1
1269,0,0
1270,0,0
1271,1,0
1272,0,0
1273,0,1
1274,1,1
1275,0,0
1276,0,0
1277,1,1
1278,0,0
1279,0,1
1280,0,0
1281,0,1
1282,0,0
1283,1,1
1284,1,1
1285,0,0
1286,0,1
1287,0,0
1288,1,1
1289,0,0
1290,0,0
1291,1,1
1292,0,0
1293,1,1
1294,0,0
1295,1,1
1296,0,1
1297,0,1
1298,1,1
1299,0,0
1300,1,1
1301,0,0
1302,0,0
1303,1,0
1304,1,1
1305,0,1
1306,1,1
1307,0,0
1308,0,0
1309,0,0
1310,0,0
1311,1,1
1312,0,1
1313,1,1
1314,1,1
1315,1,1
1316,0,0
1317,0,0
1318,0,1
1319,1,1
1320,0,0
1321,0,0
1322,0,0
1323,1,1
1324,0,1
1325,0,0
1326,1,1
1327,0,0
1328,0,0
1329,1,1
1330,0,0
1331,0,0
1332,0,0
1333,1,0
1334,1,0
1335,1,1
1336,1,1
1337,0,0
1338,0,0
1339,0,0
1340,0,0
1341,0,0
1342,1,1
1343,1,1
1344,0,0
1345,0,0
1346,1,1
1347,0,0
1348,0,0
1349,0,1
1350,1,0
1351,1,0
1352,0,0
1353,1,1
1354,0,0
1355,1,1
1356,1,1
1357,1,0
1358,0,0
1359,1,1
